Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1845,357.09620370702453,6.261201738486287,168.88115782681447,0.1181971803948317,0.003028740211678755,0.03443666349291428,0.00021654782800318672,0.09771807763908645,0.972524774621152,0.9577201698757191,0.11912054760461631,0.0381169202984543,1205.152083852003,4.6911657923049015,0.0,7.473481954204813e-08,0.5140000000000458,0.3165322577883327
1846,356.3987851765442,6.26485562156628,168.56577878946592,0.11832581241615658,0.0030334797450550684,0.03445671756010068,0.00018690572273431303,0.09830262385025669,0.9720842787169862,0.9725448340580455,0.11970467748452392,0.03827802847806653,1204.606857375894,4.697035824595781,0.0,6.321955496049835e-08,0.5140000000000458,0.3206474199532339
1847,356.17574626852405,6.020111758051421,169.05961761832324,0.116119156073758,0.0028988200186342286,0.03311072218887094,0.0002189252967130026,0.0932615594396282,0.9714736031758036,0.9789858757624211,0.11892787859145645,0.03702075832531085,1203.8504020668167,4.752503743610448,0.0,7.992274319199251e-08,0.5140000000000458,0.3135023210468078
1848,355.9148544738602,5.979884993262043,168.4409483065048,0.11753419314726903,0.0029216307798120176,0.032889435302618585,0.00022927429990699915,0.09312402177298892,0.9718449141377543,0.9694987263266654,0.11988968045800774,0.03713905283341032,1204.3101198416705,4.73486499843105,0.0,7.594891461937619e-08,0.5140000000000458,0.32187654815507233
1849,355.3216280718182,6.113969744038534,166.4699721692633,0.12415236186302393,0.0031299794880069905,0.03362668466973902,0.00049824991523661,0.09793293767985255,0.9731410829040623,0.9712706926585224,0.12465788099869413,0.039137249648502716,1205.916352001788,4.638339256398501,0.0,1.8575104031627963e-07,0.5140000000000458,0.3390694242800147
1850,354.4662721272498,6.088693467967133,165.20349489140685,0.12731561629461888,0.0032035404267198885,0.033487706169892224,0.0029379953781540893,0.09702445619944047,0.973432265499907,0.9823387984573723,0.12751149500890444,0.03989994071712746,1206.2776345130221,4.606059928719205,0.0,1.388139187897797e-06,0.5140000000000458,0.35680881511297224
1851,354.19251393596943,5.896943940579692,168.68933194066315,0.10965382365470522,0.0026979512053856244,0.03243356133609961,3.088784251354624e-05,0.08805853375648845,0.9706141402790842,0.9490800206568646,0.11346206087306104,0.034699457518013226,1202.7841453788506,4.769240500698384,0.0,8.321334700961526e-09,0.5140000000000458,0.2988358497472463
1852,354.7692575102934,5.539480700558872,169.41532059238173,0.11277684131666532,0.002661626619584249,0.03046733693544206,4.8380660265786836e-05,0.08464227340535242,0.9707554395087518,0.980680476784107,0.11795248177058791,0.03463569814939522,1202.9605541824658,4.827032303408639,0.0,1.3836537474363461e-08,0.5140000000000458,0.3045172604202106
1853,355.65446211499807,5.353191758373156,169.16712937788927,0.11930521498987062,0.0027517450539076113,0.029442463975336664,7.215236903810094e-05,0.08525207742188798,0.9720538263167128,0.9830961926602411,0.12378940774507499,0.03556722903889164,1204.5695616702646,4.812446031873637,0.0,2.030674062423689e-08,0.5140000000000458,0.32104256117470437
1854,356.03019754456795,5.467389145610774,171.16925838225276,0.11131796141861497,0.0026051616189626376,0.030070830076568265,5.441064267325632e-05,0.0835506225504241,0.9710740912434171,0.9614070313955424,0.11636937329558132,0.033939173752804086,1203.3546110746859,4.857556805938433,0.0,1.542634415661822e-08,0.5140000000000458,0.30292546755944033
