Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1874,355.8770284663861,5.498186859449806,176.6128612085683,0.1019635057075178,0.0023977849115467504,0.03024068301366296,6.926495282103706e-05,0.07823214339766403,0.9695783346822919,0.9528112729105892,0.10855713015629942,0.03178037430557499,1201.5007737107217,4.954775093209665,0.045593815142833304,2.301906632596249e-08,0.5050659794603161,0.2849744415061741
1875,357.3982242646003,5.043272127453869,174.15222298065999,0.12437435444303178,0.0027504286016108398,0.02773786694782378,0.00024399559678344539,0.08086875031368282,0.9735341883466769,0.9993265655168718,0.12934825662198873,0.0357338565994171,1206.4046408815846,4.855588621692712,0.04671359512657767,8.181084409801996e-08,0.5051903994585092,0.33508676538294585
1876,358.22939852635943,5.0680121321390255,176.4828296445954,0.11788292819514669,0.002615982730608372,0.027874091760552822,9.147322210227952e-05,0.07932815260679235,0.9733432084370777,0.9610223224689856,0.1227964327374272,0.03408444676227001,1206.1663905249743,4.886870847995726,0.04733475739047378,2.746003324102968e-08,0.5052594174878305,0.3167085980154818
1877,359.3785663775079,4.97271440918915,179.73697835497072,0.11269583162908633,0.0024674493439204625,0.02735008128184344,0.0002086434573757296,0.07624763416925709,0.9724042589899469,0.9663249201855157,0.1191625988635059,0.03269646679672141,1205.0031044345546,4.98887499186525,0.0482043976499557,7.5532550797262e-08,0.5053560441833292,0.30391695992398465
1878,359.90832374041474,5.351300519794609,177.798614424077,0.1286556161217492,0.002959292752588491,0.029431751856929884,0.0003220004011071839,0.08909022430491058,0.9750420182768024,0.9834329992200939,0.1310291856829096,0.03779584027332809,1208.2724186728183,4.808954893950952,0.04860875166685832,1.0434393308377366e-07,0.5054009724074282,0.3502308791692604
1879,359.7365769227597,5.708914197345282,179.62033493387406,0.11928674520162026,0.0028728606000636915,0.03139887165187272,7.275851771623452e-05,0.09166140193246777,0.9737152597302079,0.9738435996087529,0.12211629720988695,0.03687793758234906,1206.6279552051762,4.828594483699664,0.048477055092275255,2.032057628705605e-08,0.5053863394546956,0.31889813463852473
1880,359.1138374282264,6.134267372172337,177.73184047328297,0.12669487121757497,0.00319997924059021,0.033738114591279365,0.0004437140221952807,0.10083250197026232,0.9746532485020696,0.9816659084818271,0.12675956427208504,0.04010584776684702,1207.7905977379241,4.708633659005759,0.04800302911425535,1.5263601641543294e-07,0.5053336699015837,0.34755858068215717
1881,358.79041485273086,5.9882363077848,182.59664421944143,0.10351370893837769,0.0025776807882130722,0.0329357666515593,1.3325334995005189e-05,0.08828036714714776,0.9702540966090132,0.9591907717979419,0.10847336045024307,0.03378430880206299,1202.338415546022,4.952507321684341,0.047757695972831214,3.4430270404720574e-09,0.5053064106636487,0.2824544813470755
1882,359.9766862535305,5.478140837203498,181.1893076895034,0.11314977245232748,0.002650516826764235,0.030129852110949783,0.0001381418071081647,0.08511897905323011,0.9721475626845933,0.9825264077981652,0.11836068307917512,0.0347743357480539,1204.685692130625,4.950092111693306,0.04866130622058257,4.099736992717491e-08,0.5054068118022854,0.31147354498501384
1883,360.85098867265805,5.40625468014754,180.5535461481796,0.11746856619805722,0.0027273264582920553,0.029734367834194197,0.0005863355706476778,0.08536560098759069,0.9735206267720491,0.9660360438885944,0.12139081590900974,0.03539685329693088,1206.3864488383047,4.904818978151782,0.049335429323717865,2.3416106414606503e-07,0.5054817143693018,0.3186006059535113
1884,360.9225238739922,5.674589634521574,180.37824491829474,0.1194833964581509,0.0028661476565844998,0.03121009903756685,0.00016374812160413848,0.09096644153204225,0.9739145161328244,0.9675562047732078,0.122098349397977,0.036790252864148394,1206.8746034621513,4.847673186238138,0.04939087106447431,5.096512843324134e-08,0.5054878745627206,0.3213760590900315
1885,361.329533253664,5.641263102985594,181.90990506236827,0.11800307316130097,0.002821948909325306,0.031026835862044758,0.00038397782209754805,0.09003454663094954,0.9729616396365722,0.9858708794775781,0.12165173181345562,0.036556065630658524,1205.6946017226308,4.918869154886515,0.049707571826200024,1.3096895236713378e-07,0.5055230635362469,0.3267972915107836
1886,361.15435128553395,5.924988555494214,181.27995914490998,0.11678809605806993,0.002885648602937357,0.03258734991570395,7.82205452039916e-05,0.09419312876794031,0.973218076001898,0.9671434438966988,0.1191855541387845,0.03699534496889443,1206.0115866718797,4.856785020765002,0.049571149968355536,2.3055588357805457e-08,0.5055079055520392,0.31288146293269814
